taxa,Env,DON_ppm,Vibe,Manual,Visual,NIR
TX15DDH100,FSC19,16.64,29.01,8.5,15,58
TX15DDH100,FSC19,11.88,16.11,6.1,10,53
TX15DDH106,FSC19,39.04,44.74,14.6,30,60
TX15DDH112,FSC19,18.04,27.8,5,10,40
TX15DDH112,FSC19,15.68,14.3,6.6,10,62
TX15DDH112,FSC20,NA,NA,NA,10,25
TX15DDH112,FSC20,NA,NA,NA,10,29
TX15DDH112,WLA20,NA,7.53,3.309929789,1,46
TX15DDH112,WLA20,NA,5.77,2.705410822,1,43
TX16D1012,FSC19,49.6,51.47,26.8,60,84
TX16D1012,FSC19,33.92,16.56,10.1,30,44
TX16D1027,FSC19,28.64,59.58,20.1,40,78
TX16D1027,FSC19,26.72,61.04,16.7,30,67
TX16D1092,FSC19,31,40.23,20.4,55,83
TX16D1092,FSC19,19.76,23.85,12.2,25,68
TX16D1100,FSC19,45.96,53.33,23.5,35,79
TX16D1100,FSC19,41.28,48.82,19.7,50,79
TX16D1349,FSC19,20.52,39.81,13.2,25,53
TX16D1349,FSC19,13.56,21.63,11.3,20,40
TX16D1355,FSC19,55.64,60.11,47.8,50,60
TX16D1355,FSC19,20.24,44.61,16.02,20,NA
TX16D1355,FSC20,NA,NA,NA,45,42
TX16D1355,WLA20,NA,21.36,23.34669339,60,76
TX16D1355,WLA20,NA,16.48,14.24272818,25,65
TX16D1432,FSC19,11.16,22.45,7.9,15,30
TX16D1437,FSC19,17.28,31.2,6.7,20,42
TX16D1528,FSC19,16.04,40.1,9.6,20,51
TX16DDH448,FSC19,18.2,41.43,6.8,25,42
TX16DDH448,FSC20,NA,NA,NA,10,47
TX16DDH448,WLA20,NA,12.79,11.14457831,40,73
TX16DDH448,WLA20,NA,18.76,15.43086172,35,76
TX16DDH579,FSC19,55.32,58.33,63.3,45,88
TX16DDH579,FSC19,42.32,43.01,31.63,30,65
TX16DDH579,FSC20,NA,NA,11.2,5,31
TX16DDH579,FSC20,NA,NA,NA,15,35
TX16DDH579,WLA20,NA,5.72,7.414829659,5,60
TX16DDH579,WLA20,NA,6.28,6.733668342,10,57
TX17D2029,FSC19,50.28,49.13,67.9,40,84
TX17D2029,FSC19,34.92,37.44,24.1,25,58
TX17D2029,FSC20,NA,NA,2.7,20,47
TX17D2029,WLA20,NA,14.49,14.8445336,40,74
TX17D2029,WLA20,NA,19.46,23.05389222,50,73
TX17D2126,FSC19,18.04,27.38,10.7,15,52
TX17D2139,FSC19,18.68,24.53,8.7,20,51
TX17D2139,FSC20,NA,NA,3,15,46
TX17D2139,WLA20,NA,11,16.66666667,45,55
TX17D2139,WLA20,NA,11.25,14.7442327,15,54
TX17D2270,FSC19,31.48,45.29,17,30,68
TX17D2270,FSC19,22.84,37.53,13.6,40,49
TX17D2337,FSC19,32.48,40.16,23.3,30,80
TX17D2337,FSC19,14.04,22.34,12.8,20,41
TX17D2337,FSC20,NA,NA,NA,25,32
TX17D2337,WLA20,NA,6.79,15.73146293,20,60
TX17D2337,WLA20,NA,8.27,6.5,20,62
TX17D2452,FSC19,8.44,21.62,5,10,25
TX17D2452,FSC20,NA,NA,6.7,NA,38
TX17D2452,WLA20,NA,9.72,9.9,25,61
TX17D2452,WLA20,NA,9.42,8.416833667,10,64
TX17D2463,FSC19,47.4,60.85,24,35,76
TX17D2463,FSC19,32.84,50.8,15.3,35,44
TX17D2490,FSC19,NA,36.97,7.23,5,NA
TX17D2490,FSC19,38.72,48.21,21.5,30,53
TX18D3041,FSC20,NA,0.7,NA,20,23
TX18D3041,WLA20,NA,15.76,25.85170341,30,53
TX18D3130,FSC20,NA,NA,NA,5,34
TX18D3130,WLA20,NA,19.72,25.02502503,60,53
TX18D3212,FSC20,NA,NA,16.1,20,33
TX18D3212,WLA20,NA,12.69,13.62725451,15,39
TX18D3220,FSC20,NA,NA,NA,20,55
TX18D3220,WLA20,NA,14.35,21.9,30,56
TX18D3221,FSC20,NA,NA,NA,15,39
TX18D3221,WLA20,NA,24.67,29.22922923,70,64
TX18D3240,FSC20,NA,NA,4.4,30,50
TX18D3240,WLA20,NA,13.33,14.32865731,25,42
TX18D3241,FSC20,NA,NA,2.9,15,49
TX18D3241,WLA20,NA,10.27,14.62925852,15,59
TX18D3243,FSC20,NA,NA,NA,10,49
TX18D3243,WLA20,NA,16.56,16.93386774,30,48
TX18D3250,FSC20,NA,NA,NA,10,39
TX18D3250,WLA20,NA,13.13,12.95180723,20,54
TX18D3256,FSC20,NA,NA,15.5,15,54
TX18D3256,WLA20,NA,31.32,23.11557789,60,66
TX18D3263,FSC20,NA,NA,NA,20,27
TX18D3263,WLA20,NA,18.66,19.38061938,30,49
TX18D3282,FSC20,NA,NA,1,15,36
TX18D3282,WLA20,NA,18.47,21.33599202,25,45
TX18D3289,FSC20,NA,NA,NA,40,60
TX18D3289,WLA20,NA,18.25,21.2,50,51
TX18D3291,FSC20,NA,3.36,NA,10,44
TX18D3291,WLA20,NA,20.28,18.16347124,50,57
TX18D3308,FSC20,NA,NA,1.2,25,51
TX18D3308,WLA20,NA,10.94,12.8256513,10,57
USG3120,FSC20,NA,NA,NA,15,36
VA11MAS2.68.4.1.3,FSC19,17.6,42.29,10.8,20,64
VA11MAS2.68.4.1.3,FSC19,16.36,19.43,7.9,15,52
VA11MAS2.68.4.1.3,FSC19,13.6,12.7,4.5,10,83
VA11MAS2.68.4.1.3,FSC19,13.16,33.85,7.5,25,49
VA11MAS2.68.4.1.3,WVA19,8.88,17.3,9.32,15,39
VA11MAS2.68.4.1.3,WVA19,4.88,21.48,11.42,25,45
VA15W.86,FSC19,17.6,38.79,14.8,20,63
VA15W.86,FSC19,15,26.36,9.4,20,55
VA16W.124,FSC19,24.04,31.03,11,20,54
VA16W.124,FSC19,14.92,25.24,15.6,NA,49
VA16W.202,FSC19,26.52,34.08,15.6,25,65
VA16W.202,FSC19,14.12,22.66,9.6,15,67
VA16W.202,FSC20,NA,NA,NA,5,46
VA17W.176,FSC19,22.4,15.57,9.9,20,51
VA17W.176,FSC19,19.28,31.18,7.4,10,56
VA17W.176,FSC19,18.4,25.82,8.3,20,50
VA17W.176,FSC19,18.16,16.29,9.5,15,67
VA17W.176,FSC20,NA,NA,6.4,15,40
VA17W.176,FSC20,NA,NA,NA,15,34
VA17W.176,WLA20,NA,8.81,9.036144578,10,64
VA17W.176,WLA20,NA,8.62,13.5678392,5,61
VA17W.176,WVA19,7.6,20.83,19.84,20,57
VA17W.176,WVA19,1.76,12.24,6.78,10,46
VA17W.74,FSC19,22.36,24.86,23.8,20,55
VA17W.74,FSC19,20.52,26.01,13.7,20,58
VA17W.74,FSC19,16.44,27.37,8.7,20,70
VA17W.74,FSC20,NA,NA,3,5,36
VA17W.74,FSC20,NA,NA,NA,10,36
VA17W.74,WLA20,NA,9.32,5.782652044,5,60
VA17W.74,WLA20,NA,6.3,8.835341365,5,56
VA17W.74,WVA19,3.84,16.27,11.35,10,40
VA17W.74,WVA19,2.64,17.92,11.94,10,47
VA17W.75,FSC19,17.16,26.06,14.4,20,50
VA17W.75,FSC19,11.08,12.12,6.1,15,52
VA17W.75,FSC19,10.96,16.07,3.4,15,47
VA17W.75,FSC19,0.96,3.83,1,0,43
VA17W.75,WVA19,6.36,8.61,5.52,10,38
VA17W.75,WVA19,2.12,16.17,9.89,15,55
VA18FHB.58,FSC20,NA,8.54,3.28,10,38
VA18FHB.58,FSC20,NA,NA,4.29,10,43
