taxa,Env,DON_ppm,Vibe,Manual,Visual,NIR
ARS14W0857,FSC19,30.96,44.95,18,NA,70
ARS14W0857,FSC19,14.4,26.2,12.1,20,43
ARS15W099,FSC19,62.32,65.06,29.1,65,94
ARS15W099,FSC19,60.24,66.2,23.5,55,77
ARS15W099,FSC20,NA,NA,33.6,55,49
ARS15W099,FSC20,NA,NA,23.2,35,35
ARS15W099,WLA20,NA,24.67,14.55823293,20,57
ARS15W099,WLA20,NA,17.07,14.8445336,15,65
ARS15W267,FSC19,27.6,20.5,9.4,20,71
ARS15W267,FSC19,13.72,15.98,6.3,20,46
ARS15W268,FSC19,17.68,27.97,16.6,20,51
ARS15W268,FSC19,11.88,14.73,4.4,10,46
BESS,FSC19,11.28,10.29,3.4,10,49
BESS,FSC19,6.32,9.06,2.3,5,36
BESS,FSC20,NA,16.98,6.17,15,36
BESS,FSC20,NA,NA,7.43,5,31
BESS,WVA19,4.4,13.47,4.52,0,37
BESS,WVA19,1.92,9.71,3.84,10,34
COKER9835,FSC19,41.96,29.19,31.7,50,80
COKER9835,FSC20,NA,8.23,1.89,15,44
COKER9835,FSC20,NA,NA,15.85,15,48
COKER9835,WVA19,21.72,27.51,30.51,55,95
COKER9835,WVA19,21.6,16.39,20.75,40,69
DH13SRW021.70,FSC19,10.32,10.37,3.6,10,47
DH13SRW021.70,FSC19,6.84,6.42,2.4,10,42
DH13SRW021.70,WVA19,6.36,12.41,4.6,5,30
DH13SRW021.70,WVA19,2.64,13.09,7.86,5,37
DH13SRW023.201,FSC19,24.92,16.34,14.5,15,54
DH13SRW023.201,FSC19,20.72,25.68,12.1,25,66
DH13SRW023.201,FSC19,18.64,13.11,10.8,25,56
DH13SRW023.201,FSC19,18.24,17.98,16.9,25,59
DH13SRW023.201,WVA19,7.48,9.83,10.85,10,50
DH13SRW023.201,WVA19,2.84,10.9,6.3,5,55
DH15SRW65.53,FSC20,NA,NA,NA,15,31
DH15SRW65.53,WLA20,NA,6.62,8.408408408,10,63
DH15SRW65.53,WLA20,NA,4.65,8.459214502,5,63
ERNIE,FSC19,12.44,14.42,4,5,42
ERNIE,FSC19,5.16,12.87,3.8,5,50
ERNIE,FSC20,NA,8.77,1.69,5,37
ERNIE,FSC20,NA,7.8,2.59,5,40
ERNIE,WVA19,3.8,9.48,4.1,0,45
ERNIE,WVA19,0.84,17.79,1.92,0,39
FL14078LDH.11,FSC19,27.04,25.94,15.7,25,75
FL14078LDH.11,FSC19,24.52,29.94,15.2,30,65
FL14078LDH.13,FSC19,53.92,41.69,29.3,45,93
FL14078LDH.13,FSC19,38.92,40.71,14.2,30,64
FL14078LDH.142,FSC19,14.8,39.19,13.9,20,48
FL14078LDH.162,FSC19,11.64,28.81,5.4,20,47
FL14078LDH.168,FSC19,33.2,37.39,19.6,25,73
FL14078LDH.168,FSC19,22.16,29.92,14.1,20,53
FL14078LDH.28,FSC19,21.68,39.87,8.2,20,58
FL14078LDH.28,FSC19,20.72,39.2,13.8,20,50
FL14078LDH.28,FSC20,NA,NA,4.2,5,65
FL14078LDH.28,FSC20,NA,NA,3.2,30,41
FL14078LDH.28,FSC20,NA,NA,8.5,20,47
FL14078LDH.28,WLA20,NA,13.55,7.128514056,10,54
FL14078LDH.28,WLA20,NA,18.03,23.82382382,15,53
FL14078LDH.7,FSC19,12.6,17.87,6.1,15,45
FL14078LDH.7,FSC19,12.48,16.21,4.9,10,53
FL14078LDH.92,FSC19,4.68,12.13,5,5,42
FL14167LDH.153,FSC19,6.36,11.41,4.1,10,37
FL14167LDH.153,FSC20,NA,NA,NA,25,40
FL14167LDH.153,WLA20,NA,33.78,23.18548387,60,72
FL14167LDH.153,WLA20,NA,32.7,27.88365095,70,82
FL14167LDH.158,FSC19,19.2,19.96,4.4,25,73
FL14167LDH.158,FSC19,9.88,25.85,4.6,20,43
FL14167LDH.158,FSC20,NA,0.63,NA,20,33
FL14167LDH.158,FSC20,NA,NA,13.5,20,43
FL14167LDH.158,FSC20,NA,NA,NA,15,56
FL14167LDH.158,WLA20,NA,9.73,7.4222668,5,60
FL14167LDH.158,WLA20,NA,9.85,8.13253012,5,61
